URI,Created,Works,Environment,Parent Collection,Url to collection online,Sheet Creator,Sheet Done,Date Created,Archipelago Collection,Notes,Errors
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-pre-1,2019-07-16T20:44:46.664000+00:00,3,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-11-11,2020-11-11T15:17:16.074000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B2%5D,2022-11-09T22:21:56.362000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09,2023-08-09T20:40:39.506000+00:00,54,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_batch_a,2021-03-03T20:28:51.283000+00:00,426,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30,2020-11-09T20:44:04.924000+00:00,57,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B7%5D,2022-11-09T22:21:56.389000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-c%5B8%5D,2022-11-11T15:43:14.816000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-c%5B9%5D,2022-11-11T15:43:14.805000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f,2022-11-16T21:55:21.949000+00:00,107,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2,2022-11-22T17:08:07.085000+00:00,4,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-d%5B6%5D,2022-11-11T16:45:55.906000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/26/a4/ad/8b/26a4ad8b-6709-4e6f-a030-f8628d291696,2022-04-08T14:52:10.816000+00:00,0,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-d%5B3%5D,2022-11-11T16:45:55.871000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-d%5B9%5D,2022-11-11T16:45:55.913000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-d%5B8%5D,2022-11-11T16:45:55.909000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-c,2022-11-11T15:43:14.773000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-d,2022-11-11T16:45:55.862000+00:00,1,pre,,,,,,,,
